ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Cascades,Three Sisters,322070,44.133,-121.767,,,,,,,,,,,,,,,,1.2,0.8,,,,,,,,
Cascades,Mt. Jefferson,322020,44.674,-121.8,,,,,,,,,,,,,,,,1.2,0.8,,,,,,,,
Mexico,FUEGO DE COLIMA,341040,19.514,-103.62,,23,0,23.0,6.9,GB,,,3,,6.2,,,,,3,1.5,,,47.4,47.4,,,,
Mexico,El Chichon,341120,17.36,-93.228,,,,,,,"Carn et al., 2017",10.1038/srep44095,,,,,,,,,,,,,,,,,
Mexico,Popocateptl,341090,19.023,-98.622,605.17,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,1.5,0.3,,,,,624.1,,,624.1,482.9,,,
Alaska,SPURR,313040,61.299,-152.251,38.69,14,13,38.7,43.6,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.1,0.3,,,,,29.3,,,29.3,21.9,,,
Alaska,REDOUBT,313030,60.485,-152.742,134.32,197,366,134.3,151.4,SB,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,159,174.9,131.2,1.6,0.2,,,1.2,0.8,147.8,,,147.8,82.0,,,
Alaska,ILIAMNA,313020,60.032,-153.09,,40,38,40.0,12.0,GB,this work ,,,,,,,,,1.2,0.8,,,33.0,33.0,24.1,,,
Alaska,AUGUSTINE,313010,59.363,-153.43,26.645,86,169,26.6,30.0,SB,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,,,,2.4,0.4,,,1.2,0.8,44.0,,,44.0,36.9,,,
Alaska,DOUGLAS,312270,58.855,-153.542,,10,1,10.0,5.2,,"Carn et al., 2017",10.1038/srep44095,,,,,,,,1.2,0.8,,,8.3,8.3,7.0,,,
Alaska,MARTIN,312140,58.172,-155.361,,27,0,27.0,8.1,GB,this work ,,,,,,,,,1.2,0.8,,,22.3,22.3,16.3,,,
Alaska,Fourpeaked,312260,58.77,-153.672,,,,, ,,"Carn et al., 2017",10.1038/srep44095,1,,0.8,,,,,1.2,0.8,,,,,,,,
Alaska_Peninsula,CHIGINAGAK,312110,57.135,-156.99,50.37,,,50.4,56.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,0.5,,,,41.6,,41.6,31.0,,,
Alaska_Peninsula,VENIAMINOF,312070,56.17,-159.38,93.075,,,93.1,104.9,SB,"Carn et al., 2017",10.1038/srep44095,5,,4.1,,,,,1.2,0.8,,,76.8,76.8,67.9,,,
Alaska_Peninsula,PAVLOF,312030,55.417,-161.894,,,,, ,,"Carn et al., 2017",10.1038/srep44095,51,,42.1,,,,,1.2,0.8,,,,,,,,
East_Aleut,SHISHALDIN,311360,54.756,-163.97,126.655,,,126.7,142.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.4,0.5,,,,,121.9,,,121.9,78.8,,,
East_Aleut,BOGOSLOF,311300,53.93,-168.03,,,,, ,,"Carn et al., 2017",10.1038/srep44095,53.5,,44.1,,,,,1.2,0.8,,,,,,,,
East_Aleut,OKMOK,311290,53.43,-168.13,,,,, ,,"Carn et al., 2017",10.1038/srep44095,150,,123.8,,,,,1.2,0.8,,,,,,,,
Central_Aleut,CLEVELAND,311240,52.825,-169.944,55.48,,,55.5,62.5,SB,"Carn et al., 2017",10.1038/srep44095,1.13,0.8,,1,0.5,,,,,38.1,,,38.1,36.6,,,
Central_Aleut,ATKA (KOROVIN),311161,52.381,-174.166,72.27,,,72.3,81.5,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,,,1.2,0.8,,,59.6,59.6,54.5,,,
Central_Aleut,KASATOCHI,311130,52.177,-175.508,,,,, ,,"Carn et al., 2017",10.1038/srep44095,2000,,1650.0,,,,,1.2,0.8,,,,,,,,
West_Aleut,KANAGA,311110,51.923,-177.168,,25,12,25.0,7.5,GB,this work ,,,,,,,,,1.2,0.8,,,20.6,20.6,15.1,,,
West_Aleut,GARELOI,311070,51.79,-178.794,18.98,112,28,19.0,21.4,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.26,,,,,,3.4,,,3.4,3.8,,,
West_Aleut,KISKA,311020,52.103,177.602,,1,0,1.0,0.3,GB,this work ,,,,,6.86,,,,,,4.7,,,4.7,1.4,,,
Kamchatka,KLIUCHEVSKOI,300260,56.056,160.642,211.7,,,211.7,238.6,SB,"Carn et al., 2017",10.1038/srep44095,335,299.4,,1.3,,,,,,189.2,,,189.2,100.9,,,
Kamchatka,BEZYMIANNY,300250,55.972,160.595,,,,, ,,"Carn et al., 2017",10.1038/srep44095,19,17.0,,1.3,0.4,,,,,,,,,,,,
Kamchatka,TOLBACHIK,300240,55.832,160.326,,,,, ,,"Carn et al., 2017, Werner et al., 2019",10.1038/srep44095,200,,165,,,,,1.2,0.8,,,,,,,,
Kamchatka,KIZIMEN,300230,55.131,160.32,259.515,,,259.5,292.5,SB,"Carn et al., 2017",10.1038/srep44095,60,,49.5,,,1.2,0.5,,,,214.1,,214.1,145.4,,,
Kamchatka,KARYMSKY,300130,54.049,159.443,332.515,,,332.5,374.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,1.2,0.5,,,,274.3,,274.3,184.9,,,
Kamchatka,ZHUPANOVSKY,300120,53.589,159.15,,,,, ,,"Carn et al., 2017",10.1038/srep44095,237,,195.5,,,,,1.2,0.8,,,,,,,,
Kamchatka,KORYAKSKY,300090,53.321,158.712,,,,, ,,"Carn et al., 2017",10.1038/srep44095,2,,1.7,,,,,1.2,0.8,,,,,,,,
Kamchatka,AVACHINSKY,300100,53.256,158.836,,,,258.1,134.2,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.2,0.3,,,,,212.9,,,212.9,125.1,,,
Kamchatka,GORELY,300070,52.559,158.03,274.845,,,274.8,309.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.7,0.5,,,,,321.2,,,321.2,195.1,,,
Kamchatka,MUTNOVSKY,300060,52.449,158.196,69.35,,,69.4,78.2,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.2,,,,,,57.2,,,57.2,38.7,,,
Kamchatka,SHEVELUCH,300270,56.653,161.36,,,,193.5,100.6,SB,"Carn et al., 2017",10.1038/srep44095,27,24.1,,1.3,0.4,,,,,172.9,,,172.9,106.5,,,
